"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_900508595.1","IncA/C",5538,"Homo sapiens","UJVZ01000060.1","Europe","blaNDM-1"
"GCA_004294785.1","IncA/C",43375,"Homo sapiens","SHUC01000041.1","Asia","blaNDM-1"
"GCA_004795625.1","IncA/C",43247,"Homo sapiens","SSDA01000038.1","Asia","blaNDM-1"
"GCA_900474395.1","IncA/C",136223,"Homo sapiens","UFAE01000003.1","Asia","blaNDM-1"
"GCA_007954075.1","IncA/C",18009,"Homo sapiens","VOMG01000103.1","North America","blaNDM-1"
"GCA_014840295.1","IncA/C",22343,"Homo sapiens","JACYPA010000026.1","Asia","blaNDM-1"
"GCA_014840315.1","IncA/C",86302,"Homo sapiens","JACYPD010000024.1","Asia","blaNDM-1"
"GCA_014840345.1","IncA/C",68685,"Homo sapiens","JACYPB010000023.1","Asia","blaNDM-1"
"GCA_014840555.1","IncA/C",68685,"Homo sapiens","JACYPN010000026.1","Asia","blaNDM-1"
"GCA_014840645.1","IncA/C",13204,"Homo sapiens","JACYPO010000048.1","Asia","blaNDM-1"
"GCA_014876795.1","IncA/C",5606,"Homo sapiens","JADAYM010000042.1","Europe","blaNDM-1"
"GCA_014876815.1","IncA/C",5606,"Homo sapiens","JADAYP010000042.1","Europe","blaNDM-1"
"GCA_014876895.1","IncA/C",5606,"Homo sapiens","JADAYN010000044.1","Europe","blaNDM-1"
"GCA_014876915.1","IncA/C",5606,"Homo sapiens","JADAZJ010000043.1","Europe","blaNDM-1"
"GCA_014876905.1","IncA/C",5606,"Homo sapiens","JADAYR010000040.1","Europe","blaNDM-1"
"GCA_014876925.1","IncA/C",5606,"Homo sapiens","JADAYO010000041.1","Europe","blaNDM-1"
"GCA_014876935.1","IncA/C",5606,"Homo sapiens","JADAYS010000041.1","Europe","blaNDM-1"
"GCA_014877025.1","IncA/C",5606,"Homo sapiens","JADAYQ010000042.1","Europe","blaNDM-1"
"GCA_014877015.1","IncA/C",5603,"Homo sapiens","JADAYT010000038.1","Europe","blaNDM-1"
"GCA_014876995.1","IncA/C",5606,"Homo sapiens","JADAYU010000040.1","Europe","blaNDM-1"
"GCA_014877115.1","IncA/C",5606,"Homo sapiens","JADAYY010000041.1","Europe","blaNDM-1"
"GCA_014877195.1","IncA/C",5606,"Homo sapiens","JADAZA010000042.1","Europe","blaNDM-1"
"GCA_014877215.1","IncA/C",5606,"Homo sapiens","JADAYZ010000039.1","Europe","blaNDM-1"
"GCA_014877325.1","IncA/C",5606,"Homo sapiens","JADAZF010000043.1","Europe","blaNDM-1"
"GCA_014877365.1","IncA/C",5606,"Homo sapiens","JADAZG010000045.1","Europe","blaNDM-1"
"GCA_014877395.1","IncA/C",5606,"Homo sapiens","JADAZH010000042.1","Europe","blaNDM-1"
"GCA_014877615.1","IncA/C",5606,"Homo sapiens","JADAXV010000049.1","Europe","blaNDM-1"
"GCA_014877625.1","IncA/C",5603,"Homo sapiens","JADAXX010000043.1","Europe","blaNDM-1"
"GCA_014877715.1","IncA/C",5606,"Homo sapiens","JADAYB010000042.1","Europe","blaNDM-1"
"GCA_014877725.1","IncA/C",5606,"Homo sapiens","JADAYC010000040.1","Europe","blaNDM-1"
"GCA_014877745.1","IncA/C",5606,"Homo sapiens","JADAYD010000042.1","Europe","blaNDM-1"
"GCA_014877795.1","IncA/C",5603,"Homo sapiens","JADAYF010000039.1","Europe","blaNDM-1"
"GCA_014877815.1","IncA/C",5606,"Homo sapiens","JADAZK010000042.1","Europe","blaNDM-1"
"GCA_014877895.1","IncA/C",5603,"Homo sapiens","JADAYK010000047.1","Europe","blaNDM-1"
"GCA_014877935.1","IncA/C",5606,"Homo sapiens","JADAYL010000043.1","Europe","blaNDM-1"
"GCA_014877955.1","IncA/C",5606,"Homo sapiens","JADAXW010000043.1","Europe","blaNDM-1"
"GCA_014877995.1","IncA/C",5603,"Homo sapiens","JADAXY010000043.1","Europe","blaNDM-1"
"GCA_014880005.1","IncA/C",137906,"Homo sapiens","JADBCM010000014.1","Europe","blaNDM-1"
"GCA_014880015.1","IncA/C",5606,"Homo sapiens","JADBCN010000045.1","Europe","blaNDM-1"
"GCA_014879995.1","IncA/C",5606,"Homo sapiens","JADBCK010000044.1","Europe","blaNDM-1"
"GCA_014880095.1","IncA/C",5606,"Homo sapiens","JADBCI010000042.1","Europe","blaNDM-1"
"GCA_902155855.1","IncA/C",106315,"Homo sapiens","CABFXD010000002.1","Europe","blaNDM-1"
"GCA_009856915.1","IncA/C",5783,"Homo sapiens","WVSY01000046.1","North America","blaNDM-1"
"GCA_011683185.1","IncA/C",47950,"Homo sapiens","VCOO01000018.1","Asia","blaNDM-1"
"GCA_011683205.1","IncA/C",47952,"Homo sapiens","VCON01000018.1","Asia","blaNDM-1"
"GCA_015831505.1","IncA/C",6392,"Homo sapiens","JADWZR010000071.1","Europe","blaNDM-1"
"GCA_016055295.1","IncA/C",7057,"Homo sapiens","JAECSS010000136.1","South America","blaNDM-1"
"GCA_016055395.1","IncA/C",5606,"Homo sapiens","JAECSY010000053.1","South America","blaNDM-1"
"GCA_016055655.1","IncA/C",5606,"Homo sapiens","JAECTK010000049.1","South America","blaNDM-1"
"GCA_016810935.1","IncA/C",5477,"Homo sapiens","JAFBKX010000084.1","Asia","blaNDM-1"
"GCA_016810955.1","IncA/C",69782,"Homo sapiens","JAFBLA010000028.1","Asia","blaNDM-1"
"GCA_000943095.1","IncA/C",5501,"Homo sapiens","CDQG01000062.1","Asia","blaNDM-1"
"GCA_002211905.1","IncA/C",140133,"Homo sapiens","CP022126.1","North America","blaNDM-1"
"GCA_000364385.3","IncA/C",140825,"Homo sapiens","CP006661.1","North America","blaNDM-1"
"GCA_000958975.1","IncA/C",5604,"Homo sapiens","LAFV01000013.1","North America","blaNDM-1"
"GCA_900513855.1","IncA/C",3490,"Homo sapiens","UKQD01000048.1","Europe","blaNDM-1"
"GCA_900513935.1","IncA/C",3490,"Homo sapiens","UKQM01000046.1","Europe","blaNDM-1"
"GCA_900513925.1","IncA/C",3490,"Homo sapiens","UKQL01000050.1","Europe","blaNDM-1"
"GCA_900513975.1","IncA/C",3490,"Homo sapiens","UKQQ01000046.1","Europe","blaNDM-1"
"GCA_900513945.1","IncA/C",3490,"Homo sapiens","UKQR01000048.1","Europe","blaNDM-1"
"GCA_900503095.1","IncA/C",3488,"Homo sapiens","UJAU01000063.1","Europe","blaNDM-1"
"GCA_900505315.1","IncA/C",1398,"Homo sapiens","UJJH01000083.1","Europe","blaNDM-1"
"GCA_900505355.1","IncA/C",9108,"Homo sapiens","UJJJ01000043.1","Europe","blaNDM-1"
"GCA_900505435.1","IncA/C",22466,"Homo sapiens","UJJU01000042.1","Europe","blaNDM-1"
"GCA_900505595.1","IncA/C",1398,"Homo sapiens","UJKL01000081.1","Europe","blaNDM-1"
"GCA_900509175.1","IncA/C",86234,"Homo sapiens","UJYC01000026.1","Europe","blaNDM-1"
"GCA_011683155.1","IncA/C",47952,"Homo sapiens","VCOP01000018.1","Asia","blaNDM-1"
"GCA_014840535.1","IncA/C",14224,"Homo sapiens","JACYPL010000051.1","Asia","blaNDM-1"
"GCA_015476755.1","IncA/C",137593,"Homo sapiens","JACSPK010000008.1","Asia","blaNDM-1"
"GCA_018274405.1","IncA/C",5511,"Homo sapiens","JAGUTQ010000130.1","Europe","blaNDM-1"
"GCA_018274465.1","IncA/C",5511,"Homo sapiens","JAGUTR010000101.1","Europe","blaNDM-1"
"GCA_018274525.1","IncA/C",5510,"Homo sapiens","JAGUTV010000068.1","Europe","blaNDM-1"
"GCA_018274545.1","IncA/C",5511,"Homo sapiens","JAGUTT010000080.1","Europe","blaNDM-1"
"GCA_018283575.1","IncA/C",5511,"Homo sapiens","JAGVVJ010000078.1","Europe","blaNDM-1"
"GCA_004357805.1","IncA/C",85881,"Homo sapiens","SMTO01000026.1","Asia","blaNDM"
"GCA_004357815.1","IncA/C",89536,"Homo sapiens","SMTM01000023.1","Asia","blaNDM"
"GCA_004358085.1","IncA/C",85895,"Homo sapiens","SMTP01000024.1","Asia","blaNDM"
"GCA_018383785.1","IncA/C",5511,"Homo sapiens","JAHAVL010000064.1","Europe","blaNDM-1"
