"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_013011465.1","IncX3",43979,"Environment","DABHMR010000041.1","Asia","blaNDM-5"
"GCA_003999855.1","IncX3",46259,"Missing","CP034737.1","Asia","blaNDM-5"
"GCA_008693265.1","IncX3",46161,"Poultry","CM018321.1","Asia","blaNDM-5"
"GCA_008693295.1","IncX3",46161,"Poultry","CM018322.1","Asia","blaNDM-5"
"GCA_900607785.1","IncX3",25436,"Homo sapiens","UWWG01000006.1","Europe","blaNDM-5"
"GCA_900608045.1","IncX3",73149,"Homo sapiens","UWXG01000003.1","Europe","blaNDM-5"
"GCA_003122105.1","IncX3",46161,"Missing","CP029245.1","Asia","blaNDM-5"
"GCA_002994925.1","IncX3",45382,"Homo sapiens","PVQG01000033.1","Asia","blaNDM-5"
"GCA_002994915.1","IncX3",45383,"Homo sapiens","PVQI01000096.1","Asia","blaNDM-5"
"GCA_002994975.1","IncX3",45392,"Homo sapiens","PVQH01000101.1","Asia","blaNDM-5"
"GCA_003031735.1","IncX3",46159,"Homo sapiens","CP020512.1","North America","blaNDM-5"
"GCA_003971215.1","IncX3",45650,"Missing","CP034591.1","Asia","blaNDM-5"
"GCA_003428445.1","IncX3",46161,"Homo sapiens","CM010659.1","Asia","blaNDM-5"
"GCA_003546265.1","IncX3",43906,"Homo sapiens","QXNX01000037.1","Africa","blaNDM-5"
"GCA_003342715.1","IncX3",46157,"Homo sapiens","CP031138.1","Europe","blaNDM-7"
"GCA_001463115.1","IncX3",9310,"Homo sapiens","LNHU01000075.1","South America","blaNDM-5"
"GCA_011076985.1","IncX3",45300,"Environment","JAALAD010000029.1","Missing","blaNDM-5"
"GCA_014712335.1","IncX3",4464,"Poultry","JACXRG010000048.1","Asia","blaNDM-5"
"GCA_014712445.1","IncX3",3320,"Poultry","JACXRM010000050.1","Asia","blaNDM-5"
"GCA_014712535.1","IncX3",3319,"Swine","JACXRR010000083.1","Asia","blaNDM-5"
"GCA_012030375.1","IncX3",46161,"Homo sapiens","JAAUVL010000002.1","Asia","blaNDM-5"
"GCA_015245405.1","IncX3",1290,"Homo sapiens","DACAIY010000317.1","Asia","blaNDM"
"GCA_013131465.1","IncX3",41962,"Horse","JAAGEE010000029.1","Asia","blaNDM-5"
"GCA_013131485.1","IncX3",41962,"Horse","JAAGEF010000029.1","Asia","blaNDM-5"
"GCA_013131475.1","IncX3",45863,"Horse","JAAGEG010000031.1","Asia","blaNDM-5"
"GCA_003186665.1","IncX3",3475,"Homo sapiens","QHMK01000110.1","Africa","blaNDM-5"
"GCA_009176965.1","IncX3",46158,"Environment","AP019679.1","Asia","blaNDM-5"
"GCA_009659565.1","IncX3",45269,"Vegetable","VMKS01000029.1","Asia","blaNDM-5"
"GCA_013374275.1","IncX3",44962,"Homo sapiens","AP023227.1","Asia","blaNDM-1"
"GCA_014793945.1","IncX3",3242,"Homo sapiens","DABWNN010000236.1","Asia","blaNDM-5"
"GCA_014775555.1","IncX3",2307,"Homo sapiens","DABWHM010000187.1","Asia","blaNDM-5"
"GCA_014775115.1","IncX3",3323,"Homo sapiens","DABWGX010000093.1","Asia","blaNDM-5"
"GCA_014793845.1","IncX3",1022,"Homo sapiens","DABWNH010000165.1","Asia","blaNDM-5"
"GCA_014778675.1","IncX3",3356,"Homo sapiens","DABWJU010000094.1","Asia","blaNDM-5"
"GCA_014775135.1","IncX3",3242,"Homo sapiens","DABWGW010000162.1","Asia","blaNDM-5"
"GCA_014776175.1","IncX3",1764,"Homo sapiens","DABWHS010000224.1","Asia","blaNDM-5"
"GCA_014776195.1","IncX3",33169,"Homo sapiens","DABWHQ010000047.1","Asia","blaNDM-7"
"GCA_014777195.1","IncX3",3328,"Homo sapiens","DABWIU010000091.1","Asia","blaNDM-5"
"GCA_014776135.1","IncX3",2281,"Homo sapiens","DABWHR010000167.1","Asia","blaNDM-5"
"GCA_014827835.1","IncX3",3242,"Poultry","DABXDG010000180.1","Asia","blaNDM-5"
"GCA_014827735.1","IncX3",3243,"Poultry","DABXDI010000136.1","Asia","blaNDM-5"
"GCA_014827715.1","IncX3",3240,"Poultry","DABXCZ010000134.1","Asia","blaNDM-5"
"GCA_014845435.1","IncX3",3240,"Poultry","DABXEB010000138.1","Asia","blaNDM-5"
"GCA_014827035.1","IncX3",3243,"Poultry","DABXDJ010000142.1","Asia","blaNDM-5"
"GCA_014827575.1","IncX3",8702,"Poultry","DABXDB010000062.1","Asia","blaNDM-5"
"GCA_014838635.1","IncX3",8702,"Poultry","DABXDU010000062.1","Asia","blaNDM-5"
"GCA_014827555.1","IncX3",8702,"Poultry","DABXDD010000061.1","Asia","blaNDM-5"
"GCA_014827515.1","IncX3",8701,"Poultry","DABXCY010000062.1","Asia","blaNDM-5"
"GCA_014827635.1","IncX3",45337,"Poultry","DABXCX010000039.1","Asia","blaNDM-5"
"GCA_014838535.1","IncX3",45337,"Poultry","DABXDR010000038.1","Asia","blaNDM-5"
"GCA_014827535.1","IncX3",3243,"Poultry","DABXCW010000172.1","Asia","blaNDM-5"
"GCA_014827875.1","IncX3",8701,"Poultry","DABXDN010000061.1","Asia","blaNDM-5"
"GCA_014827495.1","IncX3",8702,"Poultry","DABXCV010000063.1","Asia","blaNDM-5"
"GCA_014827295.1","IncX3",8702,"Poultry","DABXCR010000061.1","Asia","blaNDM-5"
"GCA_014827435.1","IncX3",7588,"Poultry","DABXCS010000055.1","Asia","blaNDM-5"
"GCA_014827275.1","IncX3",7588,"Poultry","DABXCP010000057.1","Asia","blaNDM-5"
"GCA_014827375.1","IncX3",44137,"Poultry","DABXCG010000035.1","Asia","blaNDM-1"
"GCA_014827335.1","IncX3",8701,"Poultry","DABXCO010000070.1","Asia","blaNDM-5"
"GCA_014827475.1","IncX3",8701,"Poultry","DABXCI010000072.1","Asia","blaNDM-5"
"GCA_004295365.1","IncX3",46161,"Homo sapiens","CP036179.1","Asia","blaNDM-5"
"GCA_004301465.1","IncX3",51321,"Homo sapiens","CP036205.1","Asia","blaNDM-5"
"GCA_001893455.1","IncX3",8743,"Fly","MOJC01000063.1","Asia","blaNDM-5"
"GCA_001893875.1","IncX3",45380,"Fly","MOIV01000034.1","Asia","blaNDM-7"
"GCA_001893905.1","IncX3",45380,"Fly","MOIW01000034.1","Asia","blaNDM-7"
"GCA_001894245.1","IncX3",45379,"Fly","MOJB01000045.1","Asia","blaNDM-5"
"GCA_001894255.1","IncX3",8744,"Fly","MOJE01000033.1","Asia","blaNDM-5"
"GCA_013012465.1","IncX3",41340,"Homo sapiens","DABHOO010000027.1","Asia","blaNDM-4"
"GCA_013012045.1","IncX3",42366,"Environment","DABHNU010000035.1","Asia","blaNDM-7"
"GCA_004011625.1","IncX3",3320,"Homo sapiens","RXHE01000096.1","Asia","blaNDM-5"
"GCA_004088295.1","IncX3",46161,"Homo sapiens","CP035125.1","Asia","blaNDM-7"
"GCA_004122195.1","IncX3",3433,"Homo sapiens","RIZL01000089.1","Asia","blaNDM-5"
"GCA_004122205.1","IncX3",3433,"Homo sapiens","RIZJ01000063.1","Asia","blaNDM-5"
"GCA_004122245.1","IncX3",3433,"Homo sapiens","RIZN01000109.1","Asia","blaNDM-5"
"GCA_004122295.1","IncX3",3431,"Homo sapiens","RIZP01000031.1","Asia","blaNDM-5"
"GCA_004122455.1","IncX3",4074,"Homo sapiens","RIZY01000066.1","Asia","blaNDM-5"
"GCA_004126435.1","IncX3",4066,"Homo sapiens","RIZZ01000068.1","Asia","blaNDM-5"
"GCA_012302065.1","IncX3",46161,"Homo sapiens","DAAZOZ010000019.1","Europe","blaNDM-7"
"GCA_012301985.1","IncX3",1786,"Homo sapiens","DAAZOY010000170.1","Europe","blaNDM-7"
"GCA_005869925.1","IncX3",1898,"Homo sapiens","VCAV01000141.1","Asia","blaNDM-5"
"GCA_012434055.1","IncX3",45338,"Homo sapiens","DAAZPL010000036.1","Australia","blaNDM-7"
"GCA_012453205.1","IncX3",8701,"Homo sapiens","DAAZTS010000134.1","Australia","blaNDM-5"
"GCA_012452935.1","IncX3",1520,"Homo sapiens","DAAZSZ010000104.1","Australia","blaNDM-5"
"GCA_012452765.1","IncX3",42367,"Homo sapiens","DAAZSY010000041.1","Australia","blaNDM-7"
"GCA_012440425.1","IncX3",43498,"Homo sapiens","DAAZPP010000038.1","Australia","blaNDM-5"
"GCA_012508955.1","IncX3",44295,"Homo sapiens","DABAOV010000041.1","Australia","blaNDM-7"
"GCA_009392935.1","IncX3",8959,"Swine","RYAF01000053.1","Asia","blaNDM-5"
"GCA_009392965.1","IncX3",8998,"Swine","RYAB01000075.1","Asia","blaNDM-5"
"GCA_009392975.1","IncX3",7760,"Swine","RYAA01000071.1","Asia","blaNDM-1"
"GCA_009393045.1","IncX3",45806,"Swine","RYAH01000034.1","Asia","blaNDM-5"
"GCA_009393075.1","IncX3",8205,"Swine","RYAG01000041.1","Asia","blaNDM-5"
"GCA_009393035.1","IncX3",8959,"Swine","RYAD01000069.1","Asia","blaNDM-5"
"GCA_009393115.1","IncX3",8980,"Swine","RYAK01000069.1","Asia","blaNDM-5"
"GCA_009393125.1","IncX3",7760,"Swine","RYAI01000111.1","Asia","blaNDM-1"
"GCA_009393145.1","IncX3",44396,"Swine","RYAJ01000027.1","Asia","blaNDM-1"
"GCA_009393175.1","IncX3",8959,"Swine","RYAM01000058.1","Asia","blaNDM-5"
"GCA_009393205.1","IncX3",8959,"Swine","RYAN01000037.1","Asia","blaNDM-5"
"GCA_009393335.1","IncX3",7760,"Swine","RYAC01000070.1","Asia","blaNDM-1"
"GCA_009393345.1","IncX3",44396,"Swine","RYAU01000028.1","Asia","blaNDM-1"
"GCA_009393365.1","IncX3",45595,"Swine","RYAV01000032.1","Asia","blaNDM-5"
"GCA_009393395.1","IncX3",45595,"Swine","RYAW01000028.1","Asia","blaNDM-5"
"GCA_009393425.1","IncX3",45595,"Swine","RYAZ01000030.1","Asia","blaNDM-5"
"GCA_009393485.1","IncX3",8959,"Swine","RYBB01000062.1","Asia","blaNDM-5"
"GCA_009393515.1","IncX3",7845,"Swine","RYBD01000068.1","Asia","blaNDM-1"
"GCA_009393525.1","IncX3",46288,"Swine","RYBC01000036.1","Asia","blaNDM-20"
"GCA_009393565.1","IncX3",44837,"Swine","RYBE01000036.1","Asia","blaNDM-5"
"GCA_009393595.1","IncX3",46288,"Swine","RYBF01000033.1","Asia","blaNDM-5"
"GCA_009393615.1","IncX3",45716,"Swine","RYBI01000033.1","Asia","blaNDM-5"
"GCA_009393635.1","IncX3",46288,"Swine","RYBJ01000035.1","Asia","blaNDM-5"
"GCA_009393845.1","IncX3",8859,"Fly","RYBU01000083.1","Asia","blaNDM-5"
"GCA_009393855.1","IncX3",3321,"Fly","RYBW01000072.1","Asia","blaNDM-5"
"GCA_009393915.1","IncX3",10620,"Fly","RYBX01000079.1","Asia","blaNDM-5"
"GCA_009393935.1","IncX3",8944,"Fly","RYBY01000067.1","Asia","blaNDM-5"
"GCA_009393945.1","IncX3",3746,"Fly","RYCA01000099.1","Asia","blaNDM-5"
"GCA_009393955.1","IncX3",8859,"Fly","RYCB01000070.1","Asia","blaNDM-5"
"GCA_009393965.1","IncX3",8859,"Fly","RYBZ01000081.1","Asia","blaNDM-5"
"GCA_009394015.1","IncX3",44296,"Fly","RYCC01000040.1","Asia","blaNDM-1"
"GCA_009394035.1","IncX3",46014,"Fly","RYCD01000034.1","Asia","blaNDM-5"
"GCA_009394045.1","IncX3",3375,"Fly","RYCE01000102.1","Asia","blaNDM-5"
"GCA_009394135.1","IncX3",3527,"Poultry","RYCJ01000144.1","Asia","blaNDM-5"
"GCA_009394145.1","IncX3",45495,"Poultry","RYCK01000029.1","Asia","blaNDM-5"
"GCA_009394195.1","IncX3",8863,"Poultry","RYCL01000072.1","Asia","blaNDM-5"
"GCA_009394225.1","IncX3",8859,"Poultry","RYCN01000079.1","Asia","blaNDM-5"
"GCA_009394235.1","IncX3",45487,"Poultry","RYCO01000036.1","Asia","blaNDM-5"
"GCA_009394305.1","IncX3",3321,"Cattle","RYCT01000118.1","Asia","blaNDM-5"
"GCA_009394315.1","IncX3",45495,"Poultry","RYCS01000029.1","Asia","blaNDM-5"
"GCA_009394345.1","IncX3",4638,"Poultry","RYCR01000101.1","Asia","blaNDM-5"
"GCA_009394375.1","IncX3",46006,"Swine","RYDW01000033.1","Asia","blaNDM-5"
"GCA_003194265.1","IncX3",44106,"Homo sapiens","CP023260.1","Europe","blaNDM-7"
"GCA_002967865.1","IncX3",46161,"Homo sapiens","PUJO01000146.1","Asia","blaNDM-5"
"GCA_002967855.1","IncX3",46161,"Homo sapiens","PUJQ01000122.1","Asia","blaNDM-5"
"GCA_002967885.1","IncX3",46161,"Homo sapiens","PUJN01000125.1","Asia","blaNDM-5"
"GCA_002967875.1","IncX3",46161,"Homo sapiens","PUJM01000136.1","Asia","blaNDM-5"
"GCA_002967935.1","IncX3",46161,"Homo sapiens","PUJS01000162.1","Asia","blaNDM-5"
"GCA_002967955.1","IncX3",46161,"Homo sapiens","PUJP01000124.1","Asia","blaNDM-5"
"GCA_002967975.1","IncX3",46161,"Homo sapiens","PUJR01000165.1","Asia","blaNDM-5"
"GCA_003008115.1","IncX3",42490,"Homo sapiens","PVPP01000096.1","Asia","blaNDM-5"
"GCA_003303125.1","IncX3",3398,"Homo sapiens","NRZJ01000031.1","Asia","blaNDM-5"
"GCA_003711045.1","IncX3",46161,"Homo sapiens","CP033399.1","Asia","blaNDM-5"
"GCA_001463535.1","IncX3",3460,"Homo sapiens","LNHW01000129.1","South America","blaNDM-7"
"GCA_001509675.1","IncX3",43451,"Homo sapiens","LLJV01000005.1","Asia","blaNDM-5"
"GCA_001509655.1","IncX3",43488,"Homo sapiens","LLJU01000045.1","Asia","blaNDM-5"
"GCA_001644175.1","IncX3",3320,"Homo sapiens","LWQZ01000140.1","Asia","blaNDM-5"
"GCA_013072925.1","IncX3",43663,"Environment","JABEYF010000118.1","Asia","blaNDM-5"
"GCA_013073055.1","IncX3",8957,"Environment","JABEYG010000157.1","Asia","blaNDM-5"
"GCA_013073145.1","IncX3",43663,"Environment","JABEYN010000120.1","Asia","blaNDM-5"
"GCA_013346985.1","IncX3",9000,"Homo sapiens","JABEWM010000058.1","Asia","blaNDM-5"
"GCA_011077085.1","IncX3",8906,"Swine","JAALAJ010000086.1","Asia","blaNDM-5"
"GCA_011077125.1","IncX3",8902,"Swine","JAALAL010000035.1","Asia","blaNDM-5"
"GCA_011077135.1","IncX3",8902,"Swine","JAALAK010000081.1","Asia","blaNDM-5"
"GCA_011077465.1","IncX3",3365,"Poultry","JAALAX010000108.1","Asia","blaNDM-5"
"GCA_011379085.1","IncX3",43665,"Homo sapiens","WUBW01000034.1","Asia","blaNDM-5"
"GCA_013375195.1","IncX3",46161,"Animal food","JABXOE010000004.1","Asia","blaNDM-5"
"GCA_013447795.1","IncX3",4213,"Homo sapiens","AATVML010000184.1","North America","blaNDM-5"
"GCA_013443175.1","IncX3",8750,"Homo sapiens","AATVJL010000087.1","North America","blaNDM-5"
"GCA_013425955.1","IncX3",46161,"Homo sapiens","CP059006.1","Asia","blaNDM-5"
"GCA_013694345.1","IncX3",46161,"Animal food","CP059286.1","Asia","blaNDM-5"
"GCA_002164865.2","IncX3",46161,"Homo sapiens","CP034965.1","Asia","blaNDM-5"
"GCA_002164935.1","IncX3",8859,"Homo sapiens","NGVE01000038.1","Asia","blaNDM-5"
"GCA_002164955.1","IncX3",3320,"Homo sapiens","NGVH01000095.1","Asia","blaNDM-5"
"GCA_002164975.2","IncX3",46161,"Homo sapiens","CP034957.1","Asia","blaNDM-5"
"GCA_002165005.1","IncX3",8916,"Homo sapiens","NGVJ01000053.1","Asia","blaNDM-5"
"GCA_002165035.1","IncX3",45822,"Homo sapiens","NGVK01000031.1","Asia","blaNDM-5"
"GCA_002165045.1","IncX3",8880,"Homo sapiens","NGVB01000045.1","Asia","blaNDM-5"
"GCA_002165055.1","IncX3",43565,"Homo sapiens","NGVC01000035.1","Asia","blaNDM-5"
"GCA_002165095.2","IncX3",46161,"Homo sapiens","CP032889.1","Asia","blaNDM-5"
"GCA_002811555.3","IncX3",44088,"Environment","CP027204.2","Asia","blaNDM-5"
"GCA_002811605.1","IncX3",8863,"Homo sapiens","NTBG01000070.1","Asia","blaNDM-7"
"GCA_002811725.1","IncX3",3321,"Homo sapiens","NTBF01000093.1","Asia","blaNDM-5"
"GCA_001893015.1","IncX3",43439,"Fly","MOIF01000073.1","Asia","blaNDM-5"
"GCA_001893085.1","IncX3",8746,"Fly","MOIC01000010.1","Asia","blaNDM-5"
"GCA_001893105.1","IncX3",43544,"Fly","MOIG01000069.1","Asia","blaNDM-5"
"GCA_001893125.1","IncX3",3203,"Fly","MOIJ01000097.1","Asia","blaNDM-5"
"GCA_001893135.1","IncX3",45381,"Fly","MOIL01000023.1","Asia","blaNDM-5"
"GCA_001893165.1","IncX3",8803,"Fly","MOIN01000083.1","Asia","blaNDM-5"
"GCA_001893155.1","IncX3",8746,"Fly","MOIM01000113.1","Asia","blaNDM-5"
"GCA_001893245.1","IncX3",43450,"Fly","MOIS01000005.1","Asia","blaNDM-5"
"GCA_001893305.1","IncX3",4027,"Fly","MOIE01000049.1","Asia","blaNDM-5"
"GCA_001893285.1","IncX3",9305,"Fly","MOIT01000107.1","Asia","blaNDM-5"
"GCA_001893315.1","IncX3",3792,"Fly","MOIB01000149.1","Asia","blaNDM-5"
"GCA_001893345.1","IncX3",45381,"Fly","MOIH01000042.1","Asia","blaNDM-5"
"GCA_001893385.1","IncX3",4088,"Fly","MOII01000161.1","Asia","blaNDM-5"
"GCA_001893395.1","IncX3",8786,"Fly","MOIY01000079.1","Asia","blaNDM-5"
"GCA_002152065.1","IncX3",45533,"Homo sapiens","NGSC01000004.1","North America","blaNDM-5"
"GCA_002265005.1","IncX3",43665,"Homo sapiens","NPHQ01000031.1","Asia","blaNDM-5"
"GCA_002265035.1","IncX3",43665,"Homo sapiens","NPHR01000036.1","Asia","blaNDM-5"
"GCA_002265145.1","IncX3",7846,"Homo sapiens","NPHP01000082.1","Asia","blaNDM-5"
"GCA_001713625.1","IncX3",3417,"Homo sapiens","LXFK01000105.1","Asia","blaNDM-5"
"GCA_012516455.1","IncX3",46160,"Swine","CP051221.1","Asia","blaNDM-5"
"GCA_014494385.1","IncX3",3224,"Homo sapiens","JACUZC010000070.1","Asia","blaNDM-5"
"GCA_014494455.1","IncX3",45340,"Homo sapiens","JACUYY010000030.1","Asia","blaNDM-5"
"GCA_014494525.1","IncX3",3202,"Homo sapiens","JACUYX010000074.1","Asia","blaNDM-5"
"GCA_014494575.1","IncX3",7786,"Homo sapiens","JACUYT010000075.1","Asia","blaNDM-5"
"GCA_014494805.1","IncX3",43411,"Homo sapiens","JACUYI010000030.1","Asia","blaNDM-5"
"GCA_014495025.1","IncX3",3167,"Homo sapiens","JACUXW010000113.1","Asia","blaNDM-7"
"GCA_014495055.1","IncX3",7055,"Homo sapiens","JACUXU010000057.1","Asia","blaNDM-5"
"GCA_002164915.1","IncX3",3317,"Homo sapiens","NGVA01000119.1","Asia","blaNDM-5"
"GCA_002165115.2","IncX3",46161,"Homo sapiens","CP032424.1","Asia","blaNDM-5"
"GCA_004684135.1","IncX3",3341,"Homo sapiens","SRIQ01000156.1","Asia","blaNDM-5"
"GCA_004684195.1","IncX3",1724,"Homo sapiens","SRIP01000132.1","Asia","blaNDM-5"
"GCA_900773895.1","IncX3",45544,"Homo sapiens","CAAGSI010000027.1","Africa","blaNDM-5"
"GCA_002223405.1","IncX3",3412,"Homo sapiens","NIIE01000073.1","Asia","blaNDM-5"
"GCA_015254735.1","IncX3",1874,"Homo sapiens","DACAJO010000131.1","Asia","blaNDM-5"
"GCA_015245315.1","IncX3",3246,"Homo sapiens","DACAIR010000238.1","Asia","blaNDM-5"
"GCA_015245765.1","IncX3",45337,"Homo sapiens","DACAJF010000035.1","Asia","blaNDM-5"
"GCA_015245865.1","IncX3",3304,"Homo sapiens","DACAJJ010000107.1","Asia","blaNDM-5"
"GCA_015245495.1","IncX3",47072,"Homo sapiens","DACAIS010000032.1","Asia","blaNDM-19"
"GCA_013162105.1","IncX3",3242,"Homo sapiens","DABIZS010000089.1","Africa","blaNDM-5"
"GCA_002850675.5","IncX3",46161,"Homo sapiens","CP025948.1","Asia","blaNDM-21"
"GCA_011291795.1","IncX3",46161,"Pet","JAANTD010000003.1","Asia","blaNDM-5"
"GCA_014169695.1","IncX3",46158,"Environment","AP022249.1","Asia","blaNDM-5"
"GCA_011044135.1","IncX3",46161,"Pet","CP049051.1","Asia","blaNDM-5"
"GCA_015013835.1","IncX3",3241,"Homo sapiens","DABXUM010000277.1","North America","blaNDM-5"
"GCA_015042275.1","IncX3",44012,"Homo sapiens","DABYPR010000036.1","North America","blaNDM-5"
"GCA_002860105.1","IncX3",46145,"Homo sapiens","CP019073.1","Asia","blaNDM-5"
"GCA_001893465.1","IncX3",45381,"Pet","MOJG01000049.1","Asia","blaNDM-5"
"GCA_001893475.1","IncX3",45381,"Pet","MOJH01000064.1","Asia","blaNDM-5"
"GCA_001893555.1","IncX3",3208,"Animal food","MOJY01000127.1","Asia","blaNDM-5"
"GCA_001893765.1","IncX3",3321,"Homo sapiens","MOKQ01000173.1","Asia","blaNDM-5"
"GCA_001893785.1","IncX3",9304,"Wild animal","MOKR01000074.1","Asia","blaNDM-5"
"GCA_001893775.1","IncX3",3788,"Wild animal","MOKT01000034.1","Asia","blaNDM-5"
"GCA_001893995.1","IncX3",3390,"Pet","MOJM01000157.1","Asia","blaNDM-5"
"GCA_001893985.1","IncX3",45481,"Pet","MOJK01000039.1","Asia","blaNDM-5"
"GCA_001894025.1","IncX3",3271,"Pet","MOJO01000137.1","Asia","blaNDM-5"
"GCA_001894035.1","IncX3",3208,"Pet","MOJQ01000055.1","Asia","blaNDM-5"
"GCA_001894065.1","IncX3",8744,"Pet","MOJS01000091.1","Asia","blaNDM-5"
"GCA_001894085.1","IncX3",9033,"Animal food","MOKC01000109.1","Asia","blaNDM-5"
"GCA_001894305.1","IncX3",45380,"Pet","MOJI01000033.1","Asia","blaNDM-5"
"GCA_001894315.1","IncX3",4382,"Pet","MOJJ01000081.1","Asia","blaNDM-5"
"GCA_001894335.1","IncX3",3260,"Pet","MOJN01000133.1","Asia","blaNDM-5"
"GCA_001894325.1","IncX3",45378,"Pet","MOJL01000048.1","Asia","blaNDM-5"
"GCA_001894385.1","IncX3",3449,"Animal food","MOJW01000077.1","Asia","blaNDM-5"
"GCA_001894425.1","IncX3",3205,"Pet","MOJR01000096.1","Asia","blaNDM-5"
"GCA_001894505.1","IncX3",37995,"Homo sapiens","MOKO01000042.1","Asia","blaNDM-5"
"GCA_001894545.1","IncX3",45359,"Homo sapiens","MOKP01000027.1","Asia","blaNDM-5"
"GCA_014692215.1","IncX3",3241,"Homo sapiens","DABUNC010000167.1","Asia","blaNDM-7"
"GCA_014692185.1","IncX3",45748,"Homo sapiens","DABUMU010000027.1","Asia","blaNDM-5"
"GCA_009393195.1","IncX3",3496,"Swine","RYAO01000087.1","Asia","blaNDM-5"
"GCA_009393225.1","IncX3",8963,"Swine","RYAP01000059.1","Asia","blaNDM-5"
"GCA_009393295.1","IncX3",4129,"Swine","RYAS01000048.1","Asia","blaNDM-5"
"GCA_009393415.1","IncX3",8959,"Swine","RYAX01000050.1","Asia","blaNDM-5"
"GCA_009393445.1","IncX3",8959,"Swine","RYAY01000049.1","Asia","blaNDM-5"
"GCA_009393555.1","IncX3",9016,"Swine","RYBG01000071.1","Asia","blaNDM-5"
"GCA_009393655.1","IncX3",8959,"Swine","RYBL01000059.1","Asia","blaNDM-5"
"GCA_009393665.1","IncX3",8959,"Swine","RYBM01000061.1","Asia","blaNDM-5"
"GCA_009393745.1","IncX3",9016,"Homo sapiens","RYBR01000087.1","Asia","blaNDM-5"
"GCA_009393815.1","IncX3",46288,"Homo sapiens","RYBS01000036.1","Asia","blaNDM-5"
"GCA_009394395.1","IncX3",46230,"Swine","RYDX01000030.1","Asia","blaNDM-5"
"GCA_009394465.1","IncX3",9016,"Homo sapiens","RYEB01000066.1","Asia","blaNDM-5"
"GCA_009394485.1","IncX3",8959,"Homo sapiens","RYEC01000038.1","Asia","blaNDM-5"
"GCA_009394515.1","IncX3",8995,"Homo sapiens","RYEE01000044.1","Asia","blaNDM-5"
"GCA_009394525.1","IncX3",48632,"Homo sapiens","RYEF01000028.1","Asia","blaNDM-1"
"GCA_009394575.1","IncX3",8959,"Homo sapiens","RYEG01000037.1","Asia","blaNDM-5"
"GCA_009394585.1","IncX3",4781,"Homo sapiens","RYEH01000114.1","Asia","blaNDM-5"
"GCA_009394605.1","IncX3",8995,"Homo sapiens","RYEK01000045.1","Asia","blaNDM-5"
"GCA_009394625.1","IncX3",3558,"Homo sapiens","RYEJ01000120.1","Asia","blaNDM-1"
"GCA_009455525.1","IncX3",45595,"Swine","RYBH01000032.1","Asia","blaNDM-5"
"GCA_003172475.1","IncX3",3167,"Environment","QGIO01000079.1","Asia","blaNDM-5"
"GCA_003172645.1","IncX3",3167,"Environment","QGIL01000080.1","Asia","blaNDM-5"
"GCA_002887535.1","IncX3",3228,"Homo sapiens","NEFV01000068.1","Asia","blaNDM-5"
