"Assembly_number","Inc_type","Length","Host","Contig","Continent","Subtype"
"GCA_004832905.1","IncFII",15013,"Homo sapiens","STDX01000049.1","Asia","blaNDM-1"
"GCA_003693335.1","IncFII",27289,"Homo sapiens","REGZ01000072.1","Europe","blaNDM-1"
"GCA_003693405.1","IncFII",15056,"Homo sapiens","REGY01000079.1","Europe","blaNDM-1"
"GCA_008065415.1","IncFII",86019,"Homo sapiens","CP041930.1","Asia","blaNDM-4"
"GCA_008630125.1","IncFII",2948,"Homo sapiens","VWQR01000065.1","Asia","blaNDM-1"
"GCA_009710205.1","IncFII",18771,"Homo sapiens","WMIU01000039.1","Europe","blaNDM-1"
"GCA_004833085.1","IncFII",15013,"Homo sapiens","STDP01000038.1","Asia","blaNDM-1"
"GCA_004833105.1","IncFII",15013,"Homo sapiens","STCW01000043.1","Asia","blaNDM-1"
"GCA_004833335.1","IncFII",8733,"Homo sapiens","STCG01000048.1","Asia","blaNDM-1"
"GCA_004833415.1","IncFII",15013,"Homo sapiens","STFE01000045.1","Asia","blaNDM-1"
"GCA_004833405.1","IncFII",16048,"Homo sapiens","STDO01000044.1","Asia","blaNDM-1"
"GCA_004833495.1","IncFII",15013,"Homo sapiens","STFD01000044.1","Asia","blaNDM-1"
"GCA_004833505.1","IncFII",15012,"Homo sapiens","STDQ01000045.1","Asia","blaNDM-1"
"GCA_004833585.1","IncFII",5662,"Homo sapiens","STCY01000060.1","Asia","blaNDM-1"
"GCA_004833615.1","IncFII",15013,"Homo sapiens","STDW01000047.1","Asia","blaNDM-1"
"GCA_004833605.1","IncFII",15013,"Homo sapiens","STDG01000061.1","Asia","blaNDM-1"
"GCA_004833695.1","IncFII",8704,"Homo sapiens","STCE01000047.1","Asia","blaNDM-1"
"GCA_004833715.1","IncFII",15013,"Homo sapiens","STDY01000048.1","Asia","blaNDM-1"
"GCA_004833775.1","IncFII",8704,"Homo sapiens","STEM01000061.1","Asia","blaNDM-1"
"GCA_004833835.1","IncFII",15013,"Homo sapiens","STFC01000047.1","Asia","blaNDM-1"
"GCA_005145975.1","IncFII",15013,"Homo sapiens","SWMC01000046.1","Asia","blaNDM-1"
"GCA_005146005.1","IncFII",16508,"Homo sapiens","SWMK01000043.1","Asia","blaNDM-1"
"GCA_005146065.1","IncFII",15013,"Homo sapiens","SWMF01000040.1","Asia","blaNDM-1"
"GCA_005146105.1","IncFII",15013,"Homo sapiens","SWMH01000037.1","Asia","blaNDM-1"
"GCA_009720445.1","IncFII",75307,"Homo sapiens","CP041948.1","North America","blaNDM-5"
"GCA_009856855.1","IncFII",19205,"Homo sapiens","WVUE01000036.1","Asia","blaNDM-1"
"GCA_009931035.1","IncFII",110786,"Homo sapiens","CP030305.1","Asia","blaNDM-1"
"GCA_011044565.1","IncFII",9927,"Homo sapiens","JAAKYO010000039.1","Europe","blaNDM-5"
"GCA_011044555.1","IncFII",9927,"Homo sapiens","JAAKYF010000039.1","Europe","blaNDM-5"
"GCA_011044845.1","IncFII",9927,"Homo sapiens","JAAKYM010000038.1","Europe","blaNDM-5"
"GCA_011742085.1","IncFII",6928,"Homo sapiens","JAAQTK010000044.1","Asia","blaNDM-5"
"GCA_011742225.1","IncFII",6519,"Homo sapiens","JAAQSF010000034.1","Asia","blaNDM-5"
"GCA_011742215.1","IncFII",5701,"Homo sapiens","JAAQSD010000048.1","Asia","blaNDM-5"
"GCA_011742315.1","IncFII",5038,"Homo sapiens","JAAQSC010000029.1","Asia","blaNDM-5"
"GCA_011742335.1","IncFII",3440,"Homo sapiens","JAAQTA010000050.1","Asia","blaNDM-5"
"GCA_011742395.1","IncFII",8665,"Homo sapiens","JAAQSN010000047.1","Asia","blaNDM-5"
"GCA_011742455.1","IncFII",3440,"Homo sapiens","JAAQSP010000050.1","Asia","blaNDM-5"
"GCA_011742595.1","IncFII",3440,"Homo sapiens","JAAQST010000048.1","Asia","blaNDM-5"
"GCA_011742705.1","IncFII",8666,"Homo sapiens","JAAQSV010000046.1","Asia","blaNDM-5"
"GCA_011742825.1","IncFII",5220,"Homo sapiens","JAAQTJ010000043.1","Asia","blaNDM-5"
"GCA_011759465.1","IncFII",9671,"Homo sapiens","JAARMG010000050.1","Asia","blaNDM-5"
"GCA_015666525.1","IncFII",14551,"Homo sapiens","JADPHQ010000073.1","South America","blaNDM-1"
"GCA_015775135.1","IncFII",49941,"Environment","CP065346.1","Asia","blaNDM-5"
"GCA_016107385.1","IncFII",3071,"Homo sapiens","JADBEP010000083.1","Europe","blaNDM-9"
"GCA_016651775.1","IncFII",6818,"Homo sapiens","JAEPVL010000042.1","Africa","blaNDM-1"
"GCA_016761745.1","IncFII",3592,"Homo sapiens","JACSEZ010000063.1","Asia","blaNDM-5"
"GCA_016761845.1","IncFII",5398,"Homo sapiens","JACSFC010000036.1","Asia","blaNDM-5"
"GCA_016761915.1","IncFII",8733,"Homo sapiens","JACSFF010000062.1","Asia","blaNDM-5"
"GCA_016761995.1","IncFII",8818,"Homo sapiens","JACSFJ010000038.1","Asia","blaNDM-5"
"GCA_016762195.1","IncFII",3592,"Homo sapiens","JACSFS010000058.1","Asia","blaNDM-5"
"GCA_016762225.1","IncFII",9711,"Homo sapiens","JACSFU010000064.1","Asia","blaNDM-5"
"GCA_016810965.1","IncFII",6613,"Homo sapiens","JAFBKY010000054.1","Asia","blaNDM-5"
"GCA_017581855.1","IncFII",20579,"Homo sapiens","JAGFBT010000030.1","Africa","blaNDM-1"
"GCA_900507395.1","IncFII",22971,"Homo sapiens","UJRI01000038.1","Europe","blaNDM-1"
"GCA_900508065.1","IncFII",22971,"Homo sapiens","UJUM01000043.1","Europe","blaNDM-1"
"GCA_900494755.1","IncFII",15196,"Homo sapiens","UFHR01000029.1","Asia","blaNDM-1"
"GCA_900494015.1","IncFII",15196,"Homo sapiens","UFFH01000031.1","Asia","blaNDM-1"
"GCA_900494505.1","IncFII",15260,"Homo sapiens","UFHP01000024.1","Asia","blaNDM-1"
"GCA_900494195.1","IncFII",15197,"Homo sapiens","UFFW01000029.1","Asia","blaNDM-1"
"GCA_900511255.1","IncFII",23840,"Homo sapiens","UKGE01000037.1","Europe","blaNDM-1"
"GCA_003400795.1","IncFII",18767,"Homo sapiens","PXKW01000048.1","North America","blaNDM-1"
"GCA_003400925.1","IncFII",14686,"Homo sapiens","PXLF01000063.1","North America","blaNDM-1"
"GCA_002786755.1","IncFII",96185,"Homo sapiens","CP024840.1","Asia","blaNDM-5"
"GCA_002787755.1","IncFII",96185,"Homo sapiens","CP024836.1","Asia","blaNDM-5"
"GCA_900507325.1","IncFII",22971,"Homo sapiens","UJQZ01000036.1","Europe","blaNDM-1"
"GCA_900507365.1","IncFII",19267,"Homo sapiens","UJRF01000041.1","Europe","blaNDM-1"
"GCA_003432545.1","IncFII",14830,"Homo sapiens","QMBY01000144.1","Africa","blaNDM-1"
"GCA_003432555.1","IncFII",22042,"Homo sapiens","QMBW01000049.1","Africa","blaNDM-1"
"GCA_003432565.1","IncFII",19351,"Homo sapiens","QMBU01000128.1","Africa","blaNDM-1"
"GCA_003432535.1","IncFII",15170,"Homo sapiens","QMBR01000128.1","Africa","blaNDM-1"
"GCA_003432625.1","IncFII",16512,"Homo sapiens","QMBX01000021.1","Africa","blaNDM-1"
"GCA_003432625.1","IncFII",15195,"Homo sapiens","QMBX01000108.1","Africa","blaNDM-1"
"GCA_003432615.1","IncFII",15170,"Homo sapiens","QMBS01000048.1","Africa","blaNDM-1"
"GCA_003432645.1","IncFII",15170,"Homo sapiens","QMBV01000158.1","Africa","blaNDM-1"
"GCA_003432685.1","IncFII",15170,"Homo sapiens","QMBZ01000078.1","Africa","blaNDM-1"
"GCA_003432695.1","IncFII",15170,"Homo sapiens","QMCA01000150.1","Africa","blaNDM-1"
"GCA_003432635.1","IncFII",15305,"Homo sapiens","QMBT01000030.1","Africa","blaNDM-1"
"GCA_003936365.1","IncFII",7109,"Homo sapiens","RHTJ01000051.1","Asia","blaNDM-5"
"GCA_003936435.1","IncFII",7109,"Homo sapiens","RHTZ01000044.1","Asia","blaNDM-5"
"GCA_003937005.1","IncFII",7109,"Homo sapiens","RHTF01000052.1","Asia","blaNDM-5"
"GCA_003937025.1","IncFII",7109,"Homo sapiens","RHTM01000062.1","Asia","blaNDM-5"
"GCA_003937185.1","IncFII",7109,"Homo sapiens","RHTY01000041.1","Asia","blaNDM-5"
"GCA_003937245.1","IncFII",7109,"Homo sapiens","RHUF01000045.1","Asia","blaNDM-5"
"GCA_003937465.1","IncFII",7109,"Homo sapiens","RHTK01000057.1","Asia","blaNDM-5"
"GCA_003940165.1","IncFII",7109,"Homo sapiens","RHTL01000051.1","Asia","blaNDM-5"
"GCA_003944885.1","IncFII",7109,"Homo sapiens","RHTG01000056.1","Asia","blaNDM-5"
"GCA_008704055.1","IncFII",101574,"Homo sapiens","VXIW01000008.1","Africa","blaNDM-1"
"GCA_008704185.1","IncFII",101574,"Homo sapiens","VXJA01000008.1","Africa","blaNDM-1"
"GCA_009765305.1","IncFII",5939,"Homo sapiens","VSLC01000055.1","Asia","blaNDM-5"
"GCA_009765325.1","IncFII",5951,"Homo sapiens","VSJI01000082.1","Asia","blaNDM-5"
"GCA_009937845.1","IncFII",84647,"Homo sapiens","CP043863.1","Asia","blaNDM-5"
"GCA_011769725.1","IncFII",103085,"Homo sapiens","CP050367.1","Europe","blaNDM-5"
"GCA_013134865.1","IncFII",16973,"Homo sapiens","JABFYU010000042.1","Europe","blaNDM-1"
"GCA_000739495.1","IncFII",118061,"Homo sapiens","CP009115.1","North America","blaNDM-1"
"GCA_017291375.1","IncFII",5948,"Homo sapiens","JAFKOF010000051.1","Asia","blaNDM-1"
"GCA_016615995.1","IncFII",27701,"Homo sapiens","VHWY01000037.1","Missing","blaNDM-1"
"GCA_016616045.1","IncFII",27701,"Homo sapiens","VHXC01000038.1","Missing","blaNDM-1"
"GCA_003115095.2","IncFII",75574,"Homo sapiens","AP018581.2","Asia","blaNDM-1"
"GCA_014902435.1","IncFII",131737,"Homo sapiens","JACOKK010000004.1","North America","blaNDM-1"
"GCA_018420755.1","IncFII",7098,"Homo sapiens","JAFHJA010000065.1","Europe","blaNDM-5"
"GCA_018438705.1","IncFII",3328,"Homo sapiens","JAFHOZ010000113.1","Europe","blaNDM-5"
"GCA_018438765.1","IncFII",7109,"Homo sapiens","JAFHOV010000044.1","Europe","blaNDM-5"
"GCA_018441685.1","IncFII",3141,"Homo sapiens","JAFHXQ010000063.1","Europe","blaNDM-5"
"GCA_018443555.1","IncFII",13572,"Homo sapiens","JAFHUF010000051.1","Europe","blaNDM-1"
"GCA_018444225.1","IncFII",15095,"Homo sapiens","JAFHTH010000051.1","Europe","blaNDM-1"
"GCA_018447215.1","IncFII",12723,"Homo sapiens","JAFHYP010000038.1","Europe","blaNDM-1"
"GCA_018447595.1","IncFII",15070,"Homo sapiens","JAFHXR010000053.1","Europe","blaNDM-1"
