Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	% Identity to reference	Organism group	Strain	Location	Isolation source	Isolation type	Host	Assembly	Collection date	Contig coverage	Assembly coverage
Escherichia coli	WP_023408309.1	SAMN10691154	PDT000439628.1	NZ_CP034847.1	4101	4913	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	L103-2	China		environmental/other		GCA_004014735.1	2018/5/28	0	0
Escherichia coli	WP_023408309.1	SAMD00154124	PDT000424801.1	NZ_BIFM01000111.1	4416	5228	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella				clinical	Homo sapiens	GCA_003967455.1	2017	0	0
Escherichia coli	HAJ6180179.1	SAMEA3512057	PDT000427034.1	DABHYD010000103.1	166	978	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_DE030			environmental/other		GCA_013024885.1		19	57
Escherichia coli	HAJ6180414.1	SAMEA3512057	PDT000427034.1	DABHYD010000150.1	167	979	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_DE030			environmental/other		GCA_013024885.1		18	57
Escherichia coli	HAJ5557729.1	SAMEA3538871	PDT000427156.1	DABHWP010000067.1	350	1162	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU003			environmental/other		GCA_013025685.1		79	57
Escherichia coli	HAJ5557959.1	SAMEA3538871	PDT000427156.1	DABHWP010000113.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU003			environmental/other		GCA_013025685.1		80	57
Escherichia coli	HAJ5542449.1	SAMEA3538873	PDT000427157.1	DABHWQ010000073.1	350	1162	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU004			environmental/other		GCA_013025645.1		156	53
Escherichia coli	HAJ5542676.1	SAMEA3538873	PDT000427157.1	DABHWQ010000131.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU004			environmental/other		GCA_013025645.1		156	53
Escherichia coli	HAJ5527740.1	SAMEA3538717	PDT000427158.1	DABHWO010000065.1	350	1162	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU006			environmental/other		GCA_013025605.1		19	54
Escherichia coli	HAJ5527912.1	SAMEA3538717	PDT000427158.1	DABHWO010000100.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU006			environmental/other		GCA_013025605.1		19	54
Escherichia coli	HAJ5522630.1	SAMEA3538719	PDT000427159.1	DABHWN010000072.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU007			environmental/other		GCA_013025665.1		34	56
Escherichia coli	HAJ5522862.1	SAMEA3538719	PDT000427159.1	DABHWN010000117.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU007			environmental/other		GCA_013025665.1		34	56
Escherichia coli	HAJ5552668.1	SAMEA3538721	PDT000427193.1	DABHWJ010000069.1	350	1162	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU008			environmental/other		GCA_013025555.1		30	55
Escherichia coli	HAJ5552856.1	SAMEA3538721	PDT000427193.1	DABHWJ010000104.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU008			environmental/other		GCA_013025555.1		30	55
Escherichia coli	HAJ5452348.1	SAMEA3538730	PDT000427198.1	DABHWI010000397.1	83	844	+	blaNDM	NDM family subclass B1 metallo-beta-lactamase	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	94.07	100	E.coli and Shigella	EuSCAPE_BU013			environmental/other		GCA_013025445.1		5	57
Escherichia coli	HAJ5471765.1	SAMEA3538734	PDT000427201.1	DABHWD010000070.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU016			environmental/other		GCA_013025425.1		16	52
Escherichia coli	HAJ5471998.1	SAMEA3538734	PDT000427201.1	DABHWD010000105.1	351	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_BU016			environmental/other		GCA_013025425.1		17	52
Escherichia coli	HAJ3292620.1	SAMEA3721269	PDT000427653.1	DABHRG010000051.1	5840	6652	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_HR093			environmental/other		GCA_013016985.1		89	45
Escherichia coli	HAJ3292915.1	SAMEA3721269	PDT000427653.1	DABHRG010000090.1	2469	3281	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_HR093			environmental/other		GCA_013016985.1		77	45
Escherichia coli	HAJ3206056.1	SAMEA3727538	PDT000427696.1	DABHQS010000047.1	176	988	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS111			environmental/other		GCA_013015315.1		81	58
Escherichia coli	HAJ3206387.1	SAMEA3727538	PDT000427696.1	DABHQS010000092.1	1	813	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS111			environmental/other		GCA_013015315.1		36	58
Escherichia coli	HAJ3196158.1	SAMEA3727541	PDT000427699.1	DABHQP010000045.1	176	988	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS114			environmental/other		GCA_013015365.1		70	50
Escherichia coli	HAJ3196347.1	SAMEA3727541	PDT000427699.1	DABHQP010000094.1	1	813	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS114			environmental/other		GCA_013015365.1		26	50
Escherichia coli	HAJ3180093.1	SAMEA3727549	PDT000427702.1	DABHQK010000024.1	54350	55162	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS122			environmental/other		GCA_013015345.1		124	49
Escherichia coli	HAJ3181179.1	SAMEA3727549	PDT000427702.1	DABHQK010000116.1	6408	7220	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	EuSCAPE_RS122			environmental/other		GCA_013015345.1		115	49
Shigella sonnei	WP_004201164.1	SAMN10527285	PDT000428839.1	NZ_RYXT01000064.1	2189	3001	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	GCID_CRE_0007	Egypt	urine	clinical		GCA_003977245.1		233	213
Escherichia coli	WP_004201164.1	SAMN10527283	PDT000428849.1	NZ_RYXV01000033.1	6469	7281	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	GCID_CRE_0004	Egypt	urine	clinical		GCA_003977565.1		134	185
Escherichia coli	WP_004201164.1	SAMN10527282	PDT000428850.1	NZ_RYXW01000124.1	6469	7281	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	GCID_CRE_0002	Egypt	urine	clinical		GCA_003977575.1		164	234
Escherichia coli	HAH6605057.1	SAMN04357692	PDT000136062.3	DABCAF010000070.1	6709	7521	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF536			clinical		GCA_012673005.1		164	89
Escherichia coli	HAH6605278.1	SAMN04357692	PDT000136062.3	DABCAF010000134.1	226	1038	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF536			clinical		GCA_012673005.1		164	89
Escherichia coli	HAH6520268.1	SAMN04357697	PDT000136067.2	DABBZP010000058.1	163	975	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF552			clinical		GCA_012672885.1		142	93
Escherichia coli	HAH6520424.1	SAMN04357697	PDT000136067.2	DABBZP010000086.1	164	976	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF552			clinical		GCA_012672885.1		135	93
Escherichia coli	HAJ8940377.1	SAMN04357703	PDT000136073.2	DABITN010000038.1	2187	2999	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF588			clinical		GCA_013085385.1		212	95
Escherichia coli	HAJ8941089.1	SAMN04357703	PDT000136073.2	DABITN010000110.1	1576	2388	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF588			clinical		GCA_013085385.1		155	95
Escherichia coli	HAH6510576.1	SAMN04357704	PDT000136074.2	DABBZM010000058.1	93	905	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF602			clinical		GCA_012672685.1		58	58
Escherichia coli	HAH6510762.1	SAMN04357704	PDT000136074.2	DABBZM010000100.1	1	813	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF602			clinical		GCA_012672685.1		51	58
Escherichia coli	HAH6505862.1	SAMN04357708	PDT000136078.2	DABBZN010000069.1	3055	3867	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF613			clinical		GCA_012672745.1		62	65
Escherichia coli	HAH6505973.1	SAMN04357708	PDT000136078.2	DABBZN010000107.1	3056	3868	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF613			clinical		GCA_012672745.1		61	65
Escherichia coli	HAH6476091.1	SAMN04357712	PDT000136082.2	DABBZH010000026.1	16514	17326	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF623			clinical		GCA_012672645.1		132	74
Escherichia coli	HAH6476731.1	SAMN04357712	PDT000136082.2	DABBZH010000072.1	2469	3281	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF623			clinical		GCA_012672645.1		131	74
Escherichia coli	HAH6423547.1	SAMN04357727	PDT000136099.2	DABBYW010000053.1	495	1307	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF599			clinical		GCA_012672305.1		124	58
Escherichia coli	HAH6423692.1	SAMN04357727	PDT000136099.2	DABBYW010000094.1	380	1192	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HICF599			clinical		GCA_012672305.1		118	58
Escherichia coli	WP_004201164.1	SAMN11928059	PDT000661162.1	NZ_VDIY01000033.1	2266	3078	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	HuB76			environmental/other	pig	GCA_009821835.1		0	0
Escherichia coli	WP_023408309.1	SAMD00157562	PDT000772901.2	NZ_AP023238.1	14894	15706	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	F070	Myanmar:Yangon		environmental/other		GCA_013374335.1	2017/12/11	0	0
Escherichia coli	WP_023408309.1	SAMD00172786	PDT000766394.2	NZ_AP023194.1	40130	40942	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella				clinical	Homo sapiens	GCA_013340785.1	2018/4/24	0	0
Escherichia coli	WP_023408309.1	SAMD00172787	PDT000766395.2	NZ_AP023202.1	40409	41221	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella				clinical	Homo sapiens	GCA_013340805.1	2018/5/1	0	0
Escherichia coli	WP_023408309.1	SAMD00172788	PDT000766396.2	NZ_AP023210.1	10371	11183	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella				clinical	Homo sapiens	GCA_013340825.1	2018/5/1	0	0
Escherichia coli	EFF3593210.1	SAMN13088129	PDT000616804.1	AASPSV010000076.1	491	1303	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	PNUSAE037793	USA		clinical		GCA_012482015.1		271	127
Escherichia coli	EFF3593485.1	SAMN13088129	PDT000616804.1	AASPSV010000143.1	380	1192	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	PNUSAE037793	USA		clinical		GCA_012482015.1		239	127
Escherichia coli	WP_094009810.1	SAMN14120144	PDT000691318.1	NZ_JAAJRY010000033.1	2316	3128	-	blaNDM-19	subclass B1 metallo-beta-lactamase NDM-19	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_56	Lebanon		clinical	Homo sapiens	GCA_011029465.1	2018/9/19	0	0
Escherichia coli	WP_094009810.1	SAMN14120143	PDT000691319.1	NZ_JAAJRZ010000032.1	44205	45017	+	blaNDM-19	subclass B1 metallo-beta-lactamase NDM-19	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_55	Lebanon		clinical	Homo sapiens	GCA_011029505.1	2018/9/1	0	0
Escherichia coli	WP_094009810.1	SAMN14120138	PDT000691320.1	NZ_JAAJSD010000032.1	44205	45017	+	blaNDM-19	subclass B1 metallo-beta-lactamase NDM-19	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_50	Lebanon		clinical	Homo sapiens	GCA_011029555.1	2018/7/27	0	0
Escherichia coli	WP_023408309.1	SAMN14120137	PDT000691321.1	NZ_JAAJSE010000036.1	40038	40850	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_49	Lebanon		clinical	Homo sapiens	GCA_011029605.1	2018/6/5	0	0
Escherichia coli	WP_023408309.1	SAMN14120127	PDT000691322.1	NZ_JAAJSM010000093.1	294	1106	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_39	Lebanon		clinical	Homo sapiens	GCA_011029635.1	2017/8/23	0	0
Escherichia coli	WP_004201164.1	SAMN14120193	PDT000691334.1	NZ_JAAJRI010000046.1	10529	11341	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_75	Lebanon		clinical	Homo sapiens	GCA_011030155.1	2019/1/7	0	0
Escherichia coli	WP_023408309.1	SAMN14120188	PDT000691336.1	NZ_JAAJRN010000079.1	8494	9306	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	ECM_70	Lebanon		clinical	Homo sapiens	GCA_011030265.1	2018/12/14	0	0
Escherichia coli	HAO3433353.1	SAMN15158880	PDT000850888.1	DABXCT010000043.1	2186	2998	-	blaNDM	NDM family subclass B1 metallo-beta-lactamase	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	100	99.63	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827455.1	2018	494	429
Escherichia coli	HAO3434270.1	SAMN15158880	PDT000850888.1	DABXCT010000131.1	632	1444	+	blaNDM	NDM family subclass B1 metallo-beta-lactamase	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	100	99.63	E.coli and Shigella		China: Sichuan	farm	environmental/other	Chicken	GCA_014827455.1	2018	566	429
Escherichia coli	WP_032495622.1	SAMN04500792	PDT000234609.1	NZ_CM008165.1	79365	80177	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100	E.coli and Shigella	592121	France: Tours		clinical	Homo sapiens	GCA_002257685.1	2015	0	0
