UID_NUCCORE	ACC_NUCCORE	Description_NUCCORE	CreateDate_NUCCORE	Topology_NUCCORE	Completeness_NUCCORE	TaxonID_NUCCORE	Genome_NUCCORE	Length_NUCCORE	Source_NUCCORE	UID_ASSEMBLY	Status_ASSEMBLY	SeqReleaseDate_ASSEMBLY	SubmissionDate_ASSEMBLY	Latest_ASSEMBLY	UID_BIOSAMPLE	ACC_BIOSAMPLE	Location_BIOSAMPLE	Coordinates_BIOSAMPLE	IsolationSource_BIOSAMPLE	Host_BIOSAMPLE	SamplType_BIOSAMPLE	taxon_name	taxon_rank	lineage	taxon_species_id	taxon_species_name	taxon_genus_id	taxon_genus_name	taxon_family_id	taxon_family_name	taxon_order_id	taxon_order_name	taxon_class_id	taxon_class_name	taxon_phylum_id	taxon_phylum_name	taxon_superkingdom_id	taxon_superkingdom_name	loc_lat	loc_lng	loc_parsed	GC_NUCCORE	Identical	OldVersion	hits_rMLST	hitscount_rMLST	D1	D2	plasmidfinder	pmlst	relaxase_type	mpf_type	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	host	country	isolation.source	reference.title	journal	pmid	subtype	abstract
1848409055	NZ_MK372382	Escherichia coli strain ABC54 plasmid pABC54-NDM-1, complete sequence	2020/6/4	circular	complete	562	plasmid	53023	RefSeq	Missing	Missing	Missing	Missing	Missing	14228718	SAMN14228718	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	49.28427286	MK372382	Missing	Missing	0	1.7717417	-9.366442	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372383	0	Citrobacter freundii	Homo sapiens	United Arab Emirates	Urine	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-1	Missing
1848408888	NZ_MK372380	Enterobacter cloacae strain ABC40 plasmid pABC40-NDM-1, complete sequence	2020/6/4	circular	complete	550	plasmid	54035	RefSeq	Missing	Missing	Missing	Missing	Missing	14228720	SAMN14228720	Missing	Missing	Missing	Missing	Missing	Enterobacter cloacae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	550	Enterobacter cloacae	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	49.03673545	MK372380	Missing	Missing	0	1.7475332	-9.324124	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	NC_019162	0	Klebsiella pneumoniae	Homo sapiens	Missing	wound	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-1	Missing
1848408870	NZ_MK124610	Citrobacter werkmanii strain Cb_CB1_SE1_NDM_08_2017 plasmid pCB1_SE1_NDM, complete sequence	2020/6/4	circular	complete	67827	plasmid	171645	RefSeq	Missing	Missing	Missing	Missing	Missing	14227939	SAMN14227939	Missing	Missing	Missing	Missing	Missing	Citrobacter werkmanii	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	67827	Citrobacter werkmanii	544	Citrobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	54.51833727	MK124610	Missing	Missing	0	-1.3973716	-0.8430077	IncFII(Yp)_1, CP000670|IncFIB(pB171)_1, AB024946	IncF RST(Y3:A-:B70):FIA(-);FIB(70);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(3)	MOBF	MPF_F	conjugative	MK124610	0	Citrobacter werkmanii	Homo sapiens	United Kingdom	rectal screen	NDM plasmids among nosocomial bacteria in the United Kingdom	Unpublished	Missing	NDM-1	Missing
1848408816	NZ_MK450349	Klebsiella aerogenes strain CR33 plasmid pNDM-CR33, complete sequence	2020/6/4	circular	complete	548	plasmid	43252	RefSeq	Missing	Missing	Missing	Missing	Missing	14229058	SAMN14229058	Missing	Missing	Missing	Missing	Missing	Klebsiella aerogenes	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	548	Klebsiella aerogenes	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.68454638	MK450349	Missing	Missing	0	-3.063394	18.659807	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK450349	0	Klebsiella aerogenes	Missing	Missing	blood	Direct Submission	Submitted (26-JAN-2019) Clinical Laboratory, Shanghai Children's Hospital, Shanghai Jiaotong University, No. 24, Lane 1400, West Beijing Road, Shanghai, Shanghai 200040, China	Missing	NDM-5	Missing
1848408814	NZ_MK372388	Enterobacter cloacae strain ABC302 plasmid pABC302-NDM-4, complete sequence	2020/6/4	circular	complete	550	plasmid	49402	RefSeq	Missing	Missing	Missing	Missing	Missing	14228713	SAMN14228713	Missing	Missing	Missing	Missing	Missing	Enterobacter cloacae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	550	Enterobacter cloacae	547	Enterobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	47.44139913	MK372388	Missing	Missing	0	-3.2402732	18.832323	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372388	0	Enterobacter cloacae	Homo sapiens	United Arab Emirates	Urine	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-4	Missing
1848408766	NZ_MK101346	Citrobacter freundii strain CRE3 plasmid pCRE7-NDM, complete sequence	2020/6/4	circular	complete	546	plasmid	129329	RefSeq	Missing	Missing	Missing	Missing	Missing	14227945	SAMN14227945	Missing	Missing	Missing	Missing	Missing	Citrobacter freundii	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	546	Citrobacter freundii	544	Citrobacter	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	51.64502934	MK101346	Missing	Missing	0	-2.648814	-0.49111173	IncC_1, JN157804	Missing	MOBH,MOBH	MPF_F	conjugative	MK101346	0	Citrobacter freundii	Homo sapiens	China	sputum	The sequence of plasmid pCRE7-NDM in Citrobacter freundii	Unpublished	Missing	NDM-1	Missing
1848409410	NZ_MN064714	Klebsiella pneumoniae strain RJY9645 plasmid pY9645-NDM5, complete sequence	2020/6/4	circular	complete	573	plasmid	46161	RefSeq	Missing	Missing	Missing	Missing	Missing	14228933	SAMN14228933	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.65193562	MN064714	Missing	Missing	0	-3.243788	18.844332	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MN064714	0	Klebsiella pneumoniae	Homo sapiens	China	blood	Direct Submission	Submitted (13-JUN-2019) Department of Laboratory Medicine, Renji Hospital, School of Medicine, Shanghai Jiaotong University, No. 160 Pujian Road, Shanghai, Shanghai 200127, China	Missing	NDM-5	Missing
1848409394	NZ_MK773535	Klebsiella pneumoniae strain QDE2 plasmid pQDE2-A, complete sequence	2020/6/4	circular	complete	573	plasmid	46162	RefSeq	Missing	Missing	Missing	Missing	Missing	14228987	SAMN14228987	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.66825527	MK773535	Missing	Missing	0	-3.2581651	18.832563	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK773535	0	Klebsiella pneumoniae	Missing	China: Qingdao	Missing	Direct Submission	Submitted (06-APR-2019) State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, No.20,Dongdajie,Fengtai, Beijing, Beijing 100071, China	Missing	NDM-5	Missing
1848409172	NZ_MK628734	Klebsiella pneumoniae strain GDQ8D112M plasmid pGDQ8D112M-NDM, complete sequence	2020/6/4	circular	complete	573	plasmid	46161	RefSeq	Missing	Missing	Missing	Missing	Missing	14229021	SAMN14229021	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.65193562	MK628734	Missing	Missing	0	-3.2487674	18.850393	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	CP012990	0	Klebsiella pneumoniae	Missing	Missing	duck	complete sequence of Klebsiella pneumoniae strain GDQ8D112M plasmid pGDQ8D112M-NDM	Unpublished	Missing	NDM-5	Missing
1848409159	NZ_MK372392	Escherichia coli strain ABC280 plasmid pABC280-NDM-5, complete sequence	2020/6/4	circular	complete	562	plasmid	35502	RefSeq	Missing	Missing	Missing	Missing	Missing	14228709	SAMN14228709	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.35231818	MK372392	Missing	Missing	0	-3.0930727	18.685242	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372392	0	Escherichia coli	Homo sapiens	United Arab Emirates	Urine	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-5	Missing
1848409158	NZ_MK372393	Klebsiella pneumoniae strain ABC369 plasmid pABC369-NDM-5, complete sequence	2020/6/4	circular	complete	573	plasmid	45252	RefSeq	Missing	Missing	Missing	Missing	Missing	14228708	SAMN14228708	Missing	Missing	Missing	Missing	Missing	Klebsiella pneumoniae	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	573	Klebsiella pneumoniae	570	Klebsiella	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	46.83549898	MK372393	Missing	Missing	0	-2.9126768	18.499187	IncX3_1, JN247852	Missing	MOBP	MPF_T	conjugative	MK372393	0	Klebsiella pneumoniae	Homo sapiens	United Arab Emirates	Abdominal fluid	Various carbapenemases spread on IncX3 plasmids in the United Arab Emirates	Unpublished	Missing	NDM-5	Missing
1848409157	NZ_MK291500	Escherichia coli strain 15978 plasmid pHN15978-1, complete sequence	2020/6/4	circular	complete	562	plasmid	128762	RefSeq	Missing	Missing	Missing	Missing	Missing	14228630	SAMN14228630	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	50.82943726	MK291500	Missing	Missing	0	0.6381401	4.873399	IncFII_1, AY458016|IncFIB(pB171)_1, AB024946	IncF RST(F36:A-:B32):FIA(-);FIB(32);FIC(-);FII(36);FIIK(-);FIIS(-);FIIY(-)	MOBF	MPF_F	conjugative	MK291500	0	Escherichia coli	Missing	Pakistan	retail meat	Complete sequence of plasmid pHN15978-1	Unpublished	Missing	NDM-5	Missing
1848409013	NZ_MN218686	Escherichia coli strain 5M plasmid pISV_IncFII_NDM-5, complete sequence	2020/6/4	circular	complete	562	plasmid	153866	RefSeq	Missing	Missing	Missing	Missing	Missing	14228916	SAMN14228916	Missing	Missing	Missing	Missing	Missing	Escherichia coli	species	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	Escherichia coli	561	Escherichia	543	Enterobacteriaceae	91347	Enterobacterales	1236	Gammaproteobacteria	1224	Proteobacteria	2	Bacteria	Missing	Missing	Missing	52.05048549	MN218686	Missing	Missing	0	0.09055332	5.18192	IncFIB(AP001918)_1, AP001918|IncFIA_1, AP001918|IncFII(pRSB107)_1, AJ851089	IncF RST(F1:A-:B10):FIA(1,6);FIB(10);FIC(3?);FII(1);FIIK(-);FIIS(-);FIIY(-)	MOBF,MOBP	MPF_F	conjugative	MK797990	0.0180709	Salmonella enterica subsp. enterica serovar Wien	Missing	Missing	clinical sample/stool	Complete Nucleotide Sequence of Plasmids of Two Escherichia coli Strains Carrying bla NDM- 5 and bla NDM - 5 and bla OXA - 181 From the Same Patient	Front Microbiol 10, 3095 (2020)	32038543	NDM-5	Aim of this study was to genetically characterize two carbapenemase-producing Escherichia coli strains obtained from a pediatric patient affected by diarrhea, expressing OXA-181 and/or NDM-5 type enzymes. The above microorganisms were collected in the same Desenzano hospital (Northern Italy) where the bla NDM- 5 gene was detected for the first time in Italy 3 years ago. One strain (5P), belonged to sequence type ST405/ST477 (according to Pasture/Oxford schemes) and serotype O102:H6. It was characterized by a 130562 bp multi-replicon plasmid IncFII/IncFIA/IncFIB (pVSI_NDM-5) enclosing two main antibiotic resistance islands: (i) ARI-I, 10030 bp in size, carried genes coding for beta-lactam- (bla OXA- 1, bla CTX-M- 15), fluoroquinolone/aminoglycoside- (aac(6')-lb-cr) and phenicol- resistance (catB3), (ii) ARI-II, 15326 bp in size, carried genes coding for sulfonamide- (sul1), beta-lactam- (bla NDM- 5, bla TEM- 1 B), phenicol- (catB3), trimethoprim- (dfrA17), antiseptic- (qacEDelta1), and aminoglycoside- (aadA5, rmtB) resistance. The other isolate (5M), belonged to sequence type ST2659/ST759 and serotype O50/02:H18, and carried four plasmids: a 153866 bp multi-replicon IncFII/IncFIA/IncFIB (pISV_IncFII_NDM-5), an 89866 bp IncI1 plasmid, a 51480 bp IncX3 plasmid (pISV_IncX3_OXA181), and a 41143 bp IncI plasmid (pISV_IncI_CMY-42). pISV_IncFII_NDM-5 carried two main antibiotic resistance islands: (i) ARI-III, 12220 bp in size, carried genes coding for beta-lactam- (bla OXA- 1), fluoroquinolone/aminoglycoside- (aac(6')-lb-cr), tetracycline- (tet(B)) and phenicol- resistance (catB3, catA1), and ii) ARI-IV, 26527 bp in size, carried determinants coding for macrolide- (erm(B), mph(A)), sulfonamide- (sul1), beta-lactam- (bla NDM- 5, bla TEM- 1 B), trimethoprim- (dfrA14, dfrA12), antiseptic- (qacEDelta1), and aminoglycoside- resistance (aadA5). pISV_IncI_CMY-42 harbored the bla CMY- 42 gene coding for beta-lactam resistance, pISV_IncX3_OXA181 harbored genes encoding fluoroquinolone- (qnrS1) and beta-lactams- resistance (bla OXA- 181). In conclusion, the detection of two different NDM-5 E. coli strains from a pediatric patient with a history of travel to the Far East countries strongly highlight an increasing trend and risk of importation from such areas.
