Scientific name	Protein	BioSample	Location	Collection date	Isolate	AMRFinderPlus analysis type	Isolation type	Contig	Start	Assembly	Stop	Host	Isolation source	Strand	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	% Identity to reference
Klebsiella pneumoniae	WP_004201164.1	SAMN06704523	Nigeria	2015	PDT000220297.1	COMBINED	clinical	NZ_NIZK01000157.1	287	GCA_002205025.1	1099	Homo sapiens	urine	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04158298	Norway	2012	PDT000097268.1	COMBINED	clinical	NZ_LNHP01000117.1	85076	GCA_001463125.1	85888	Homo sapiens	urine	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_032495622.1	SAMN04158306	Norway	2012	PDT000097272.1	COMBINED	clinical	NZ_LNHX01000047.1	2273	GCA_001463215.1	3085	Homo sapiens	blood	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04158309	Norway	2013	PDT000097282.1	COMBINED	clinical	NZ_LNIA01000050.1	809	GCA_001463555.1	1621	Homo sapiens	urine	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN04448229	USA: Pennsylvania	41347	PDT000145746.1	COMBINED	clinical	NZ_CP016921.1	52538	GCA_001709275.1	53350	Homo sapiens	urine	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07175066	Lebanon	41475	PDT000266979.1	COMBINED	clinical	NZ_NICL01000017.1	72629	GCA_002775175.1	73441	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07175654	Lebanon	41664	PDT000266982.1	COMBINED	clinical	NZ_NICR01000018.1	79129	GCA_002775255.1	79941	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07175068	Lebanon	41530	PDT000266989.1	COMBINED	clinical	NZ_NICN01000025.1	15973	GCA_002775405.1	16785	Homo sapiens		-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_032495622.1	SAMN07178579	Lebanon	42195	PDT000266997.1	COMBINED	clinical	NZ_NICZ01000017.1	39497	GCA_002775595.1	40309	Homo sapiens		+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN08176475	China	2015	PDT000274003.1	COMBINED	clinical	NZ_PJOT01000054.1	354	GCA_002845065.1	1166	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN07173925	Lebanon	41072	PDT000277130.1	COMBINED	clinical	NZ_NIBY01000034.1	478	GCA_002866605.1	1290	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN08455837	China:Nanchang	42667	PDT000290061.1	COMBINED	clinical	NZ_CP026590.1	39931	GCA_002944845.1	40743	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN08663449	Germany	41039	PDT000304280.1	COMBINED	clinical	NZ_CP028178.1	33418	GCA_003030145.1	34230	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN08022168	Thailand	42583	PDT000304316.1	COMBINED	clinical	NZ_CP024879.1	21901	GCA_003031325.1	22713	Homo sapiens	sputum	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN08624698	China: Sichuan		PDT000304538.1	COMBINED	clinical	NZ_PWAP01000086.1	2187	GCA_003037715.1	2999	Homo sapiens		-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN08932883	"China: Chengdu, Sichuan"		PDT000336614.1	COMBINED	environmental/other	NZ_QJNQ01000051.1	3404	GCA_003261645.1	4216		Sewage	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMD00059741	Thailand:Bangkok	42476	PDT000381702.1	COMBINED	clinical	NZ_AP018750.1	5133051	GCA_003574255.1	5133863	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMD00059744	Thailand:Bangkok	42451	PDT000381703.1	COMBINED	clinical	NZ_AP018753.1	5133049	GCA_003574275.1	5133861	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_032495622.1	SAMN09289742	USA	2017	PDT000441366.1	COMBINED	environmental/other	NZ_QKPG01000021.1	40535	GCA_004024285.1	41347		water	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN10736416	China	2016	PDT000473845.1	COMBINED	environmental/other	NZ_SGRS01000025.1	2343	GCA_004321365.1	3155	Migratory bird	feces	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN10736405	China	2016	PDT000473849.1	COMBINED	environmental/other	NZ_SGSD01000027.1	2771	GCA_004321435.1	3583	Migratory bird	feces	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN10736408	China	2016	PDT000473850.1	COMBINED	environmental/other	NZ_SGSA01000027.1	40052	GCA_004321445.1	40864	Migratory bird	feces	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN11388470	Egypt: Tanta		PDT000495882.1	COMBINED	clinical	NZ_SSUO01000054.1	5067	GCA_004803085.1	5879	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN17207960	Egypt		PDT000937789.1	COMBINED	clinical	NZ_JAEPUV010000039.1	2516	GCA_016651405.1	3328	Homo sapiens	blood	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN17207973	Egypt		PDT000937792.1	COMBINED	clinical	NZ_JAEPVD010000074.1	2515	GCA_016651505.1	3327	Homo sapiens	sputum	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA4916106	Switzerland	2016	PDT000411417.1	COMBINED	clinical	NZ_UWXU01000001.1	3006262	GCA_900608215.1	3007074	Homo sapiens	hospital	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA4916116	Switzerland	41006	PDT000411423.1	COMBINED	clinical	NZ_UWYA01000003.1	94116	GCA_900608315.1	94928	Homo sapiens	hospital	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA4916118	Switzerland	41507	PDT000411425.1	COMBINED	clinical	NZ_UWYC01000003.1	35763	GCA_900608325.1	36575	Homo sapiens	hospital	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA4916132	Switzerland	2013	PDT000411436.1	COMBINED	clinical	NZ_UWYQ01000003.1	64973	GCA_900608475.1	65785	Homo sapiens	hospital	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA5763087	Spain	42578	PDT000543454.1	COMBINED	clinical	NZ_CABHKL010000003.1	27373	GCA_902166855.1	28185	Homo sapiens	human	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_032495622.1	SAMEA5763085	Spain	42480	PDT000543460.1	COMBINED	clinical	NZ_CABHKJ010000003.1	8281	GCA_902166865.1	9093	Homo sapiens	human	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMEA5763090	Spain	42578	PDT000543462.1	COMBINED	clinical	NZ_CABHKQ010000002.1	20129	GCA_902166935.1	20941	Homo sapiens	human	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN12285738	USA	43617	PDT000549699.1	COMBINED	clinical	NZ_VLJB01000093.1	3095	GCA_007421875.1	3907	Homo sapiens		-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN12285710	USA	43586	PDT000549700.1	COMBINED	clinical	NZ_VLIZ01000171.1	830	GCA_007421865.1	1642	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN12285730	USA	43586	PDT000549701.1	COMBINED	clinical	NZ_VLJA01000099.1	6297	GCA_007421885.1	7109	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN13151936	Romania:Bucharest	2018/2019	PDT000626669.1	COMBINED	environmental/other	NZ_WJBP01000051.1	2441	GCA_009646185.1	3253		Wastewater Effluent	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN13229293	Romania:Bucharest	2018/2019	PDT000637211.1	COMBINED	environmental/other	NZ_WMJH01000069.1	304	GCA_009710445.1	1116		Enviromental	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN13229286	Romania:Bucharest	2018/2019	PDT000637219.1	COMBINED	environmental/other	NZ_WMJO01000048.1	2441	GCA_009710615.1	3253		Enviromental	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN13229282	Romania:Bucharest	2018/2019	PDT000637221.1	COMBINED	environmental/other	NZ_WMJS01000052.1	2441	GCA_009710675.1	3253		Enviromental	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN13229283	Romania:Bucharest	2018/2019	PDT000637222.1	COMBINED	environmental/other	NZ_WMJR01000048.1	304	GCA_009710655.1	1116		Enviromental	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN14402333	India	2019	PDT000714404.2	COMBINED	clinical	NZ_CP054171.1	16787	GCA_011742515.2	17599	Homo sapiens	blood	-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN14984450	Lebanon	43525	PDT000761304.1	COMBINED	clinical	NZ_JABTCE010000027.1	622	GCA_013280475.1	1434	Homo sapiens		+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN14262049	Spain:Valencia		PDT000797580.1	COMBINED	clinical	NZ_JAANJQ010000041.1	3931	GCA_013603185.1	4743	Homo sapiens		-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN15498008	Thailand: Phuket	43282	PDT000870017.1	COMBINED	clinical	NZ_JADCQU010000033.1	872	GCA_014946705.1	1684	Homo sapiens	urine	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN10086700	Pakistan	2016	PDT000870019.1	COMBINED	clinical	NZ_JADCQE010000045.1	14838	GCA_014946935.1	15650	Homo sapiens	urine	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN08915824	China:Qingdao	42795	PDT000884804.1	COMBINED	clinical	NZ_CP028851.1	208406	GCA_015290985.1	209218	Homo sapiens	sputum	-	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN16659219	China:henan	43617	PDT000888695.1	COMBINED	environmental/other	NZ_CP064177.1	15692	GCA_015353095.1	16504	swine	Anal swab	+	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_004201164.1	SAMN11360905	Venezuela	42198	PDT000498976.1	COMBINED	clinical	NZ_SSBB01000079.1	194	GCA_005184305.1	1006	Homo sapiens		+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
Klebsiella pneumoniae	WP_023408309.1	SAMN10516706	China	2017	PDT000505656.1	COMBINED	clinical	NZ_RXMB01000004.1	2209	GCA_005503745.1	3021	Homo sapiens		-	blaNDM-5	subclass B1 metallo-beta-lactamase NDM-5	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100	100
